Title,Context,Locations,Latitude,Longitude
Sloss Fest 2018: Price drop for GA tickets this week,"Dragging your heels on buying tickets for the Sloss Music & Arts Festival ? That could be a good thing, if you're in the market for general admission passes. Organizers have announced a $100 ""all-in"" sale on GA two-day passes for the Birmingham festival. The new price -- effective from 7 a.m. CT today until 11:59 p.m. CT on Sunday -- is all-inclusive, which means it includes service fees. Tickets are available through Ticketmaster and the Sloss Fest website. The promotion cuts $30 plus about $20 in service charges from the current price of two-day passes. It's also cheaper than the initial that was offered in December. ""early bird"" price of $110 Organizers said the new sale is linked to the fact that Sloss Fest is 100 days away. It's also a ""while they last"" sale, which indicates there's a specific but undisclosed number of tickets available at this price. , now entering its fourth year, is set for July 14-15 at Sloss Furnaces , 30 22nd St. North. The lineup features more than 40 acts, including Arcade Fire, Chris Stapleton, Jason Isbell & the 400 Unit, The War on Drugs, Moon Taxi, GRiZ, Rainbow Kitten Surprise, St. Paul & the Broken Bones, Waxahatchee, Vance Joy and Vic Mensa. Three other types of two-day passes are available, with various perks attached. Right now, it costs $230 for an Iron pass (includes access to air-conditioned tents), $350 for VIP (includes access to air-conditioned tents, separate viewing areas and other perks), $850 for the Boss pass (includes VIP and Iron perks, plus nearby parking, complimentary food and drinks, a behind-the-scenes tour, a swag bag and more). Single-day tickets also are on sale. Current prices are $75 for general admission, $130 for an Iron pass and $195 VIP. There is no single-day Boss pass.","['Birmingham', 'St. North', 'Arcade Fire']","[52.4796992, 13.5992025, 42.5336135]","[-1.9026911, 29.9679691, -78.4228483]"
Beijing bans online Bible sales,"In China, the Bible is treated as a publication “for internal distribution” by government-sanctioned bodies. Business but especially political considerations are behind the move, namely the Bible’s growing appeal and the expanding size of China’s Christian population. According to some sociologists, China will have the most Christians in the world. Beijing (AsiaNews) Since 30 March, many Chinese online sales sites have stopped selling Bibles. This has generated complaints against online retailers like JD.com, Taobao, Amazon.cn and Dang Dang for removing the Scriptures from their catalogue. Many blame the Chinese government of trying to restrict its distribution. Chinese authorities have long categorised the Bible as a publication “for internal distribution”, i.e. to be sold only by government-sanctioned bodies to Catholics and Protestants. However, the Bible has been a bestseller for years, perhaps because many Chinese are on their own spiritual quest. This has favoured the circulation of authorised as well as unauthorised copies. ""We can't sell [. . .] spiritual books ... without an ISBN* code,"" a seller explained. That “can only be issued by the General Administration for Press and Publications (GAPP) under the State Council.” A few days ago, the authorities released a white paper on religion that said that more than 160 million copies of the Bible had been printed in more than 100 languages for over 100 countries and regions, including 80 million copies printed in Chinese, 11 ethnic minority languages as well as braille. Online people have been trying to make sense of the new restrictions on Bible sales. Some see them as a commercial move, to eliminate competition from private sites and force people to buy Bibles from government-sanctioned bodies. Others see it as an attempt by the government to limit the circulation of the Scriptures, in perhaps a desperate response to the growth of Christianity in the country. According to some Chinese sociologists like Fenggang Yang, the various Protestant denominations and the Catholic Church are growing so much that by 2030 China will have the largest number of Christians in the world. There is one problem though, namely most of the new Christians will belong to unregistered groups. * ISBN: International Standard Book Number.","['China', 'Beijing']","[35.000074, 39.9057136]","[104.999927, 116.3912972]"
The train as a replacement for short European flights is slow in coming,"The first direct Eurostar train to Amsterdam arrived on Wednesday.Photo: Joris van Gennip / HH. The Eurostar fast rail service between London and Amsterdam which started up on Wednesday is being seen as a major step forward in an overall plan to replace short European flights with fast rail journeys. Rail services are operated city-centre to city-centre, eliminating connections to airports and long check-in times. But price, political will and passport checks are all issues which still need to be overcome. In addition, there are glitches: it will take another two years before the return Amsterdam-London leg of the trip is made without a change of trains at Brussels. And perhaps a portent of times to come: Eurostar’s three hour, 41 minute maiden trip from London arrived at Amsterdam’s central station. six minutes late After Paris, London is the second destination where the train can compete with the plane on trips to and from Amsterdam. Both Dutch Rail chief Roger van Boxtel (second right in photo) and KLM president Pieter Elbers agree that the train is a good alternative to the plane on journeys of up to 500 kilometres. Overflow. More than 75,000 flights arrived at Schiphol from airports less than 500 kilometres away in 2017. This is a substantial number given the 500,000 flight cap currently in place at the Amsterdam airport. If even one-third of the passengers aboard these flights travelled by train instead, Schiphol would have years to grow and the overflow airport at would be unnecessary. Lelystad Last year 4.5 million passengers travelled on 40,000 flights between London and Amsterdam, according to broadcaster NOS . This more than all other short-haul flights put together. The connection to Paris is the only truly competitive rail journey at present. Some 1.4 million people travelled by air between the two cities in 2017. Although figures are unavailable, NOS said, it is probable more people travelled by train between the two capitals. Price. Price is a hurdle which must be overcome if rail journeys are to prevail in the future. The train is generally more expensive than the plane. ‘We have a real issue. Value-added tax does not apply to plane tickets, but VAT is added to train tickets,’ said Van Boxtel. ‘Airlines are also exempt from duty on the fuel needed to fly. We want fair competition between cheap flights and expensive train tickets.’ Politics. Political will is another issue. The Volkskrant pointed out at the weekend that the European Rail Traffic Management System should have been rolled out across the continent by now, making it easier to run more trains and cut the cost. In addition, countries want the maximum number of stops within their territory, which slows down trains and overall journey times. The 6.5 hour trip from Amsterdam to Berlin includes stops in Hilversum and Almelo, the paper points out. Rail does score well on the environment, with 80% less of carbon emissions than planes. An aircraft travelling from London to Amsterdam spews out 50 kilos of CO2, while the Eurostar emits only six kilos of CO2, environmental expert Hans Hilbers told the broadcaster.","['Amsterdam', 'London', 'Brussels', 'Paris', 'Berlin', 'Hilversum']","[52.3730796, 51.5074456, 50.8465573, 48.8588897, 52.5170365, 52.2241375]","[4.8924534, -0.1277653, 4.351697, 2.320041, 13.3888599, 5.1719396]"
Pope Francis tweets prayers for sick British baby Alfie Evans,"LONDON Pope Francis once again brought global attention to a sick British infant after he tweeted prayers for a 22-month-old boy whose life support is set to be switched off. Britain’s High Court ruled last month that the hospital caring for Alfie Evans can turn off his life support, against his parents’ wishes. Doctors at the Alder Hey Children's Hospital where Alfie is admitted in Liverpool, northern England, have said continuing it is ""unkind, unfair and inhumane."" Alfie has a rare degenerative neurological condition that has not been diagnosed, and is in a coma. His parents, Tom Evans and Kate James, wanted to take their son to the Vatican-owned Bambino Gesu Paediatric Hospital in Rome. Evans says Alfie's life support could be turned off as early as Friday. Pope Francis tweeted Wednesday: “It is my sincere hope that everything necessary may be done in order to continue compassionately accompanying little Alfie Evans, and that the deep suffering of his parents may be heard. I am praying for Alfie, for his family and for all who are involved.” The case echoes that of Charlie Gard, the terminally-ill British 11-month-old whose parents staged a months-long battle with the courts last year to take him to the United States for experimental treatment for mitochondrial DNA depletion syndrome, a rare, incurable genetic disorder that left him with brain damage and unable to move. Charlie’s parents, Chris Gard and Connie Yates, withdrew the challenge after latest tests revealed their son was unlikely to benefit from treatment. Charlie’s life support was turned off in July. Pope Francis tweeted his support for Gard and Yates before Charlie’s death and President Trump offered the family assistance. In Britain, disputes between families and doctors over how to treat a patient are decided by courts. In the U.S., the family makes the decision. It is my sincere hope that everything necessary may be done in order to continue compassionately accompanying little Alfie Evans, and that the deep suffering of his parents may be heard. I am praying for Alfie, for his family and for all who are involved. Pope Francis (@Pontifex) In a separate British case, Noel Conway , 68, who has terminal motor neuron disease, was earlier this year granted permission to appeal the High Court’s rejection of his wish to let a doctor prescribe him a lethal drug dose when his condition deteriorates. ""I believe it is possible to change the law so that vulnerable people can be protected whilst at the same time allowing those who are terminally ill, who are fully aware of what they're doing, to control and manage the final days of their life humanely and with dignity,"" Conway wrote in an article on the website of Dignity in Dying , a British campaign group. ""It has to be a fundamental human right,"" he said.","['LONDON', 'Britain', 'Alfie', 'Liverpool', 'England', 'Rome', 'the United States', 'Yates', 'U.S.']","[51.5074456, 54.3151594, -33.8162821, 53.4071991, 52.5310214, 41.8933203, 47.8281626, 42.6444444, 48.6840558]","[-0.1277653, -1.9181532, 151.0178087, -2.99168, -1.2649062, 12.4829321, -122.598365, -77.112177, 9.0096574]"
Daughter of ex-spy poisoned in UK says case is somewhat disorientating,"Yulia Skripal made her first public comment on Thursday since being poisoned in Britain last month along with her ex-Russian agent father Sergei, saying the “entire episode is somewhat disorientating.” The Skripals were found slumped on a bench in the southern English city of Salisbury on March 4 in a nerve agent attack that the British government has blamed on Russia, although Moscow denies any involvement. “I woke up over a week ago now and am glad to say my strength is growing daily. I am grateful for the interest in me and for the many messages of goodwill that I have received,” Yulia Skripal, 33, said in a statement issued by London police. “I am sure you appreciate that the entire episode is somewhat disorientating, and I hope that you’ll respect my privacy and that of my family during the period of my convalescence.” She said she wanted to thank the hospital staff treating her and the people who came to her help when “when my father and I were incapacitated.” The attack left the Skripals in a critical condition, but on March 29 the hospital where they are being treated said Yulia was getting better. Hospital bosses said her father was still in a critical but stable condition in an intensive care unit. Earlier on Thursday, Russian state TV and Interfax reported that Yulia had phoned her cousin Viktoria Skripal in Russia, saying she and her father were both recovering and that she expected to leave hospital soon. “Everything is fine, everything is fixable, everyone is getting better, everyone is alive,” they quoted her as saying in the call. When asked about her father’s health, Yulia was cited by them as saying: “Everything is fine, he is resting right now, sleeping. Everyone’s health is fine, nobody has any problems that can’t be put right. I will soon be discharging myself (from hospital).” Russian state TV said it could not vouch for the authenticity of the quotes. Viktoria Skripal, Sergei’s niece, has said she plans to travel to England and try to bring Yulia back to Russia.","['Britain', 'Salisbury', 'Russia', 'Moscow', 'London', 'Yulia', 'Interfax', 'England']","[54.3151594, 51.0690613, 64.6863136, 55.7505412, 51.5074456, 50.3853575, 4.8643962, 52.5310214]","[-1.9181532, -1.7954134, 97.7453061, 37.6174782, -0.1277653, 30.4895518, -74.0502756, -1.2649062]"
"City dad, sports execs engage grassroots in sports dev’t","CALAMBA CITY, Laguna Mayor Justin Marc SB. Chipeco has lauded the grassroots sports development program of the Philippine Sports Commission (PSC), through its Philippine Sports Institute (PSI), in partnership with the city government. Speaking during the kick off rites of the PSC-PSI grassroots sports development project on Tuesday, Chipeco also urged the sports officials and stakeholders from the city’s 54 barangays, various colleges and universities and civil society organizations to engage in fruitful collaborative partnerships. “Magtulungan po tayo at dapat tangkilikin natin ang ating mga grassroots sports programs (let us support this endeavor and promote our grassroots sports program),” Chipeco said. He assured of the city government’s fund support to sustain the grassroots development program through the initiatives of the city’s Cultural Affairs, Tourism and Sports Development Office (CATSDO). In an interview Thursday, CATSDO head Larissa Malinao said the program has embarked on its three-day consultative meeting on Grassroots Coaching Program and Sports Science Series with officials of the PSC-PSI at the city hall, and host venue for sports science at the University of Perpetual Help Dalta System Calamba campus in Barangay Paciano Rizal. Malinao added that the reorganized Sports Development Council of the city sought the support of the PSC and PSI for the city’s sports development early this year and tapped various sports stakeholders. “This is the effort of the reorganized sports development council of the city to make the program sustainable,” she said. Department of Education (DepEd) officials, barangay officials, coaches of various sports, government employees, and athletes attended the three-day sessions on April 3-5. She said as early as 2011, the Sports Development Council was formed through an Executive Order signed by then City Mayor and now Laguna 2nd District Representative Joaquin M. Chipeco. It was later reorganized by Mayor Chipeco. Malinao said the assistance of the PSC and PSI officials are highly welcomed and appreciated as this will spur the sports development in the grassroots level with professionals from government agencies that will help produce future topnotch athletes from the city. “This is an opportunity for us to develop top athletes who will also be given a chance to receive free college education out of their sports abilities and eventually become professional athletes,” Malinao said. In a related interview, PSI deputy director for grassroots sports Salvador Marlon B. Malbog IV, said the on-going activities such as the consultative meetings and sports science series are some of the programs of PSC-PSI all over the country which they are cascading to the grassroots. “Through sports science, we will be able to help coaches and trainers in improving their knowledge in sports nutrition, sports psychology, first aid, strength and conditioning, physiology and sports rehabilitation that they can share with their athletes,“ Malbog said. He added that PSC offers all these programs for free. PSC-PSI, he said, offers sports journalism trainings, which can be availed of upon request like any other trainings on coach education and mentoring. Wednesday’s activities include consultative meeting and workshops at the City Hall while parallel Sports Science and Officiating Course for Grassroots Coaching on athletics, basketball, volleyball and swimming were held at the University of Perpetual Help. (Zen Trinidad/PNA)",['Laguna 2nd'],[14.2929694],[121.0975934]
An air ambulance was also called to the scene,"An elderly man has suffered a head injury after a crash on the A120 between a lorry and a cyclist. The incident occurred at around 1.30pm today (Thursday, April 5), near the Read More (Image: Stu Morgan) An air ambulance landed nearby, and police closed the road while paramedics attended the scene. The man, believed to be in his 60s, suffered a head injury following the crash. He was taken to Colchester Hospital for further care. The road was closed until around 2.15pm, with congestion backing up between Coggeshall and Marks Tey. A spokewoman from the East of England Ambulance Service said: ""We were called at 1.31pm today (April 5) to reports of a road traffic collision between a cyclist and a lorry on the A120 at Coggeshall. Read More ""We sent an ambulance crew, a hazard area response team vehicle (HART), a rapid response vehicle and the Essex and Herts Air Ambulance to the scene. ""We treated a man believed to be in his 60's at the scene suffering from a head injury. He was then taken to Colchester General Hospital for further care."" Like us on Facebook; Follow us on Twitter; Daily Newsletter.",['Coggeshall'],[51.8818632],[0.6818747]
"N60m FUTO property destroyed by host community, says VC","Stanley Uzoaru,Owerri. Vice Chancellor of the Federal University of Technology, Owerri (FUTO), Prof. Francis Eze, has estimated the cost of the school fence recently pulled down by its host community of Umuanunu, Obinze at N60 million. Briefing newsmen, on Tuesday, on programmes of events to mark the 30th convocation ceremony of the institution scheduled to hold, on Saturday, Prof. Eze disclosed that a perimeter fencing measuring about 1. 5 metres was pulled down by the youths of the community on March 13. Notwithstanding, he said that the school is determined to complete the fencing project as soon as funds is made available. Meanwhile, the Vice Chancellor has disclosed the intention of the school to confer a Honorary Doctorate Degrees on Governor of Sokoto State, Alhaji Aminu Tambuwal and the Managing Director, Niger Delta Development Commission (NDDC), Nsima Ekere. Also, the Chief Executive Officer of Orange Drugs Ltd, Sir Tony Ezenna was also announced by the Vice Chancellor, Prof. Francis Eze and Engr. Andrew Ogaga Ejayeriese, General Manager, Exploration, Esso Exploration Production Ltd among the awardees during the 30th ceremony of the school. Besides the conferment of the Doctorate Degrees on the personalities, the vice chancellor also disclosed that a total number of 2,325 students would get first degrees honour, while 438 postgraduate degrees and diplomas would be conferred on deserving candidates. He gave the summary of the class of degrees for the undergraduate students as : 36 First Class, 914 Second Class,1,170 Second Class Lower,49 Third Class and 22 Unclassified Degree(Optometry). Similarly, for the higher degrees, 46 was awarded PH.d,250 M.Sc/M.Eng, MPH, M.Tech, MBA and 142 PGD .",['Umuanunu'],[None],[None]
Measles break out in Benue IDP camps,"No fewer than 30 persons have been infected with measles at the Internally Displaced Peoples’ camp located in Abagana, an outskirts of Makurdi in Benue state. It was gathered that the victims of the disease are mostly women and children. The Benue State Commissioner for Health and Human Services, Dr, Cecilia Ojabo, speaking to newsmen on the outbreak said some of those affected have been referred to hospitals in Makurdi town. She, however, insisted that her ministry would issue more details and facts of the disease later in the day. One of the victims, a nine-month old pregnant woman, Sarah Tyohem, who was displaced from her home in Torkula village of Guma Local Government Area of the state after gunmen attack on New Year Day, said she was already responding to treatment. Tyohem said measles broke out in the camp barely a week ago and had spread fast among those of them taking refuge there as she expressed gratitude to the medical team for quick responses. In a similiar vein, two siblings, Mimidoo Tyowua, 11 and her brother, Aondona, 7, who were displaced from Umemger village of Guma LGA, were seen with symptoms of cough, redness of eyes and others. A camp official who pleaded anonymity said that at least four people have died of the ailment, in addition to the unhygienic situation of the overcrowded camp housing more than 35,000 people.","['Abagana', 'Makurdi', 'Benue', 'Dr', 'Torkula']","[15.083333, 12.1917, 7.3505747, 52.9067922, None]","[21.333333, 8.49938, 8.7772877, 6.6368423, None]"
COAS inaugurates two mega projects in SWA,"SOUTH WAZIRISTAN, April 5 (APP):Chief of Army Staff (COAS), General Qamar Javed Bajwa Thursday inaugurated two mega projects in South Waziristan Agency (SWA). Speaking to the local tribal elders, he said having lived through very difficult times during terrorism and kinetic operations against terrorists, Pakistan now was in the phase of stability and development, an Inter Services Public Relations statement said. He urged them not to allow anyone to jeopardise the peace attained at very heavy cost in blood and national exchequer. He said earliest mainstreaming of FATA to the popular aspirations of the local tribes was essential for its development and enduring stability. He acknowledged tribal brethren for their full support to army and their resolve to maintain and strengthen the gains. The tribal elders thanked Pakistan Army for restoring peace and development works and assured that tribes would stand firmly with Pakistan Army for journey towards enduring peace. At Makeen the COAS also met father of Naqeeb Ullah Mehsud, condoled with him and offered Fatiha. He said army would support all efforts to help him get the justice. Commander Peshawar corps and IGFC KP South were present during the visit. The projects include Agriculture Park at Wana and a Market at Makeen. Both these facilities are part of socio-economic uplift programme for Federally Administered Tribal Areas (FATA). The projects have been executed by Pakistan Army engineers in collaboration with the government. Agriculture Park Wana comprises multiple components including state-of-the-art Pine Nut Processing Plant, 1000 ton capacity cold storage facility, ware houses, godowns and 128 shops. ‘Makeen Market Complex’ has 728 shops, allied facilities and a children park.",['Pakistan'],[30.3308401],[71.247499]
Bodies of man and woman found on coastal path in Wales,"Police are investigating after two bodies were found on a coastal path in West Wales. The bodies of a man and a woman were found on a path near New Quay, Ceredigion, on Wednesday evening. Police say that the families of the deceased have been informed and that the deaths are being treated as “unexplained”. Both the man and the woman were reported missing at around 1.15pm on Wednesday and the two bodies were found some hours later. It is understood that the bodies were found after a police search which was supported by a search and rescue helicopter from St Athan and Coastguard teams from New Quay and Gwbert. Both lifeboats from New Quay RNLI were also launched to assist with the search. Read More A spokeswoman for Dyfed-Powys Police said: “Dyfed-Powys Police is investigating the sudden deaths of two people, whose bodies were found on the coastal path near New Quay on the evening of Wednesday, April 4. “The man and woman had been reported missing earlier in the day. “Next of kin have been informed, and our thoughts are with the families at this time. “The deaths are being treated as unexplained and enquiries are ongoing to establish the circumstances.”","['West Wales', 'New Quay', 'St Athan']","[51.0203909, 52.2140026, 51.4020992]","[-2.5897191, -4.3603208, -3.4146628]"
An Englishman and an Irishman: two TV tributes to Seventies light entertainers,"A man dies, and goes to heaven. When he gets there, he’s overwhelmed: the place is vast. But then an angel appears, offering help. “Are you lost?” asks the angel. “Let me show you round.” So, they go for a walk. “This is the Sikh area,” the angel tells him. “And this is where the Hindus are. Over there are the Jews, and in that corner are the Anglicans.” Finally, he lowers his voice to a whisper, and says: “And now we’ll just tip-toe past this room, which is where the Catholics are.” The man is confused: why the need for hush? “Well, they think they’re the only ones in here,” says the angel. Does this joke work for you? It does for me but then, I am in possession both of massed ranks of Catholic in-laws and a weird personal kink for Milton. Either way, though, it’s hard to imagine a comedian telling it, and a lot of other religious gags besides, nowadays – and on BBC Two on a Saturday night – for the simple reason that people might not get it (even if they did, they probably wouldn’t care enough to find it funny; laughter usually involves jeopardy). Was this why Stephen Russell’s Dave Allen biopic (9pm, 2 April), starring Aidan Gillen as the beloved but controversial Irish comedian, fell so disappointingly flat? It might have been: that, and the sticky sentimentality with which Russell depicted Allen’s childhood, all spiteful nuns and adorable-but-bad-with-money parents (his entire career was revenge for the former). Everything else was, after all, perfect in its way. Gillen, a great and singular actor, was well able to ride out the bad wigs, and when he did the monologues, glass of whisky in hand, his resemblance to Allen was striking. Conleth Hill, Gillen’s Game of Thrones colleague, put in a lovely turn as the alcoholic brother to whom Allen was devoted (Hill, I increasingly feel, should be in everything). But somehow I couldn’t connect this Allen – no, not even when Gillen ecstatically performed the famous Papal striptease – with the memories I have of my parents and step-parents clutching each other, weeping semi-hysterical tears, whenever the real thing was on screen (at the time, I was dismissive, being in thrall to Ben Elton and various other smug members of the next generation of comedians). A lot of people, younger than me or less nostalgic, must have been entirely baffled by the whole thing, if they tuned in at all. Larry Grayson, though: there’s enduringly funny. I’m not kidding. As a child, I adored him. Those unimprovable split-second glances to camera: he looked like a stoat about to swallow a field mouse. “You laughed before he said a word,” as Lionel Blair noted in ITV3’s exhaustive (and, at 90 minutes, slightly exhausting) tribute to the comedian (9pm, 1 April). Once he did open his mouth, though, timing was everything. Having got his start in working men’s clubs, Grayson understood that all most lines needed for the roof to lift was a half-second pause and a raised eyebrow. “Love the dress,” we heard him say to a woman in the audience at The Good Old Days (hard to believe, now, that until 1983 the BBC still put out an Edwardian-style music hall variety show). “It’s got Hull all over it.” After this, one of the tiny, aforementioned pauses. And then: “Did you come on a trawler?” He was never mean. People forget that when he took over from Bruce Forsyth as the presenter of The Generation Game in 1978, the ratings went up (at its peak, 20 million were watching). But while Forsyth was always edged with malice, Grayson was essentially kind; if the contestants were ninnies, the butt of his campest jokes, he was always going to be more stupid, vastly more clumsy. Such gentleness was born, perhaps, of his childhood, which involved a foster sister called Fan with whom he lived until he died, and who gave up her job and a boyfriend to bring him up; and of the presumed, though never confirmed, gayness (“It frightens my dog,” he once told Terry Wogan, protesting that he couldn’t be doing with going to bed with people). He was ever humble, sticking with Nuneaton even once he was famous; keeping salt and vinegar in the glove compartment of his Roller in case he stopped for chips on the way home.",[],[],[]
T*SOL 2018 with updated databases,"Storage tanks can now also be defined and saved by the user, in addition to collectors and boilers. To optimize the solar thermal system, each component (collector, pipes, storage tank, boiler, etc.) can be parameterized individually. And with the help of the parameter variation, it is also possible to perform several simulations simultaneously, e.g. to automatically dimension the collector area and storage tank volume. A variety of tools are available for the evaluation of the results. The project report provides detailed simulation outputs, which are recognized by German government funding programs. Furthermore, graphs can be created with a wide range of temperature and energy data for more in-depth analysis. If an energy label is required according to EU directives, you can also create this with T*SOL. About Valentin Software Valentin Software GmbH has been in business for 30 years. With the PV*SOL, T*SOL and GeoT*SOL brands for dynamic simulation, design, yield and profitability forecasts for photovoltaic, solar thermal and heat pump systems, the Berlin-based software company has made a name for itself as a world leading provider of innovative design software for sustainable energy supply. Its customers include engineers, system designers, architects, installation technicians, trades and manufacturing companies in the field of electrical, heating and building technology.","['Valentin', 'Berlin']","[53.2174395, 52.5170365]","[8.5025624, 13.3888599]"
Louise Pietrewicz: Remains found in basement 50 years on,"On Wednesday, a medical examiner identified her remains, after taking DNA swabs from her relatives, local media report. Pietrewicz's daughter, Sandy Blampied, can still recall the last memory she has of her mother - dropping her off at the local school bus - when she was 12 years old. ""She would never have just left me,"" Ms Blampied told the Suffolk Times. Image copyright Suffolk County Times Image caption Pietrewicz was fleeing an abusive marriage, her daughter says. ""If she was alive somewhere she would have called and told me so we could be together."" But she never called, and no arrest was ever made. The day before Pietrewicz vanished she withdrew $1,273.80 from her personal bank account and closed it, reports the Suffolk Times. The day after she was last seen Boken resigned from his job as a police officer. He had called in sick for the previous three days. Pietrewicz was trapped in an abusive marriage at the time she vanished. According to the newspaper, Boken's former wife recently tipped police off that there was a body buried in the basement of his old colonial-era home in the town of Southold. Using ground-penetrating radar, Suffolk County detectives found a skeleton buried 7ft (2.1m) in the dirt floor basement under a 5in (12cm) concrete slab. Image copyright Suffolk County Times Image caption Boken, centre, is the suspected killer. ""Sometimes later in life witnesses do come forward to give us information that maybe at one point they felt compelled not to release, felt threatened… or just out of their conscience come forward,"" said Suffolk City chief of detectives Gerard Gigante at a news conference. It is unclear if a medical examiner will be able to determine Pietrewicz's cause of death. But Ms Blampied said she believes Boken murdered her. ""I think he killed her on the last day I saw her,"" Ms Blampied ""I gave her a hug and a kiss before I left for school, and I bet that was the day he killed her.""","['Southold', 'Suffolk County', 'Suffolk City']","[41.0651442, 40.8832318, 36.7427673]","[-72.4263497, -72.8578027, -76.6241825]"
Jaime King's Young Son Injured By Shattered Glass In Bizarre Car Attack By Stranger,"King's four year old son James was injured when a man attacked his mom's car in Beverly Hills. Actress Jaime King ’s four year old son was injured after being showered with glass when a man jumped onto her car and shattered the back window in a bizarre attack yesterday. King’s four year old son James was in the back seat of a parked car in Beverly Hills, California on Wednesday (April 4th) when a man leapt onto the back of the car and started hammering on rear windscreen until it smashed, showering glass onto the boy and injuring him, according to “The suspect jumped on the rear windshield causing glass to shatter and strike the child,” Beverly Hills Police Department said in a statement, reported by the same outlet. “In an effort to protect the child, the female driver exited the vehicle and confronted the suspect, at which time he threw a can at her, striking her arm.” Jaime King's son was injured in the seemingly random attack. Police officers, responding to reports that the same person had been vandalising other cars in the same area, soon arrested Paul Francis Floyd, 47 and said to be homeless, of Los Angeles on charges of felony child endangerment, misdemeanour battery and felony vandalism. He is being held on a $100,000 bail and will appear in court on April 6th. More: Godmother Taylor Swift meets Jaime King’s new baby for the first time [archive] 38 year old King, a model and an actress in ‘Hart of Dixie’, with a role in the upcoming all-female Ocean’s Eight , was with a friend on the sidewalk by the car at the time the attack took place. King has two children with her husband, Kyle Newman – eldest son James Knight, and 32 month old son Leo Thames, whose godmother is pop megastar Taylor Swift. They were not in the car at the time of the attack. Representatives for King had no comment on the attack when reached out to for comment by various publications. More:","['Beverly Hills', 'California', 'Los Angeles']","[34.0696501, 36.7014631, 34.0536909]","[-118.3963062, -118.755997, -118.242766]"
Should the government set the hotel room rents?,"Rashid Ullah Khan. Laissez-faire economic theory argues that the government intervention in the economic activities makes an inequitable allocation of resources. The sentiments of some of the people of Gilgit-Baltistan, I feel, aren’t about having a better tourism policy, rather about being more welcoming. Yes, we should be hospitable, but we shouldn’t expect the businesses to sell goods cheaper to prove their hospitality. Some people say that renting out the rooms on “unjustifiable prices” makes the region less attractive. It seems logical to assume that by fixing the room rents the government of Gilgit-Baltistan either wants to make the region attractive for the or it wants to make it easier for shehri people to have a better experience in Gilgit-Baltistan. We should understand that the supply and demand justify the price charged for a good. For example, the prices of greengroceries fluctuate weekly. Ever wondered that why doesn’t the government issue the rate list for the prices of greengroceries every week? That’s because of the unpredictable fluctuations in the prices of greengroceries. Thus, if the prices of greengroceries, with a relatively smooth trend line, aren’t predictable. How can be the hotel room rents then? The rent, a hotel owner charges, depends on the demand for the hotel rooms. For example, If the demand for hotel rooms on a certain day was less then the rent would have been less, and if it was high on a subsequent day the rent would have been high. And the rent he charges is associated with a certain level of risk. If some of the rooms remain empty in the hotel for charging higher price than the market clearing price, then he loses money that otherwise he would have earned. Economists teach that higher profits attract high investments. Fixing the room rents, arguably, lessens the profits, therefore makes the investors invest less. If the reason for fixing them is to make the tourism industry of Gilgit-Baltistan attractive, then the economists would call it a government failure. Hotel room rents remain high in Gilgit-Baltistan because of the less number of hotels. Thus, they will not decrease in the future. Therefore, fixing them will not solve the issue in a more natural and acceptable way, but incentivizing the investors to invest in hotel business will. The contributor is an undergraduate student at IBA-Karachi.",[],[],[]
